TIME,ARB
0.003657692,-0.4295
0.003659615,0.4032
0.003661538,-0.3865
0.003663462,0.3867
0.003665385,-0.3968
0.003667308,0.352
0.003669231,-0.4078
0.003671154,0.3652
0.003673077,-0.3597
0.003675,0.3545
0.003676923,-0.3328
0.003678846,0.3385
0.003680769,-0.3534
0.003682692,0.3224
0.003684615,-0.3643
0.003686538,0.3424
0.003688462,-0.3221
0.003690385,0.3223
0.003692308,-0.2899
0.003694231,0.2578
0.003696154,-0.2899
0.003698077,0.2041
0.0037,-0.2202
0.003701923,0.2239
0.003703846,-0.1717
0.003705769,0.2285
0.003707692,-0.1645
0.003709615,0.2578
0.003711538,-0.5
0.003713462,0.1827
0.003715385,0.2793
0.003717308,-0.3436
0.003719231,0.3652
0.003721154,-0.4295
0.003723077,0.4082
0.003725,-0.3758
0.003726923,0.3437
0.003728846,-0.4197
0.003730769,0.4189
0.003732692,-0.3752
0.003734615,0
0.003736538,0.2149
0.003738462,-0.3973
0.003740385,0.4404
0.003742308,-0.4008
0.003744231,0.4082
0.003746154,-0.4295
0.003748077,0.4082
0.00375,-0.4295
0.003751923,0.414
0.003753846,-0.4018
0.003755769,0.3867
0.003757692,-0.4295
0.003759615,0.4032
0.003761538,-0.3865
0.003763462,0.3867
0.003765385,-0.3968
0.003767308,0.352
0.003769231,-0.4078
0.003771154,0.3652
0.003773077,-0.3597
0.003775,0.3545
0.003776923,-0.3328
0.003778846,0.3385
0.003780769,-0.3534
0.003782692,0.3224
0.003784615,-0.3643
0.003786538,0.3424
0.003788462,-0.3221
0.003790385,0.3223
0.003792308,-0.2899
0.003794231,0.2578
0.003796154,-0.2899
0.003798077,0.2041
0.0038,-0.2202
0.003801923,0.2239
0.003803846,-0.1717
0.003805769,0.2285
0.003807692,-0.1645
0.003809615,0.2578
0.003811538,-0.5
0.003813462,0.1827
0.003815385,0.2793
0.003817308,-0.3436
0.003819231,0.3652
0.003821154,-0.4295
0.003823077,0.4082
0.003825,-0.3758
0.003826923,0.3437
0.003828846,-0.4197
0.003830769,0.4189
0.003832692,-0.3752
0.003834615,0
0.003836538,-0.2149
0.003838462,0.3973
0.003840385,-0.4404
0.003842308,0.4008
0.003844231,-0.4082
0.003846154,0.4295
0.003848077,-0.4082
0.00385,0.4295
0.003851923,-0.414
0.003853846,0.4018
0.003855769,-0.3867
0.003857692,0.4295
0.003859615,-0.4032
0.003861538,0.3865
0.003863462,-0.3867
0.003865385,0.3968
0.003867308,-0.352
0.003869231,0.4078
0.003871154,-0.3652
0.003873077,0.3597
0.003875,-0.3545
0.003876923,0.3328
0.003878846,-0.3385
0.003880769,0.3534
0.003882692,-0.3224
0.003884615,0.3643
0.003886538,-0.3424
0.003888462,0.3221
0.003890385,-0.3223
0.003892308,0.2899
0.003894231,-0.2578
0.003896154,0.2899
0.003898077,-0.2041
0.0039,0.2202
0.003901923,-0.2239
0.003903846,0.1717
0.003905769,-0.2285
0.003907692,0.1645
0.003909615,-0.2578
0.003911538,0.5
0.003913462,-0.1827
0.003915385,-0.2793
0.003917308,0.3436
0.003919231,-0.3652
0.003921154,0.4295
0.003923077,-0.4082
0.003925,0.3758
0.003926923,-0.3437
0.003928846,0.4197
0.003930769,-0.4189
0.003932692,0.3752
0.003934615,0
0.003936538,0.2149
